"Book_Id";"Title";"Author";"My_Rating";"Average_Rating";"Number_of_Pages";"Original_Publication_Year";"Date_Read"
96169;"Barrio de Maravillas";"Rosa Chacel";"1";"3.05";"271";"1976";"2022/05/28"
15156605;"Zezé";"Ángeles  Vicente";"4";"4.14";"101";"1909";"2022/06/01"
40689807;"El arte queer del fracaso";"J. Jack Halberstam";"2";"4.07";"208";"2011";"2022/05/20"
20618110;"Solitaire";"Alice Oseman";"2";"3.90";"392";"2014";"2022/05/16"
42115981;"Loveless";"Alice Oseman";"5";"4.28";"433";"2020";"2022/05/13"
59333313;"Judith Butler: Performatividad y vulnerabilidad";"Mónica Cano Abadía";"5";"4.69";;"2021";"2022/05/08"
52741096;"Heartstopper: The Mini Comics";"NOT A BOOK";"4";"4.43";"74";"2017";"2022/05/03"
18634859;"Barracuda";"Christos Tsiolkas";"3";"3.68";"516";"2013";"2022/05/02"
349929;"Passing";"Nella Larsen";"5";"3.93";"160";"1929";"2022/04/26"
21400742;"Outline";"Rachel Cusk";"5";"3.68";"249";"2014";"2022/04/30"
25793458;"Nick and Charlie";"Alice Oseman";"4";"4.21";"120";"2015";"2022/04/28"
56060300;"Heartstopper: Volume Four (Heartstopper, #4)";"Alice Oseman";"4";"4.65";"384";"2021";"2022/04/25"
43449920;"Heartstopper: Volume Three (Heartstopper, #3)";"Alice Oseman";"4";"4.62";"384";"2020";"2022/04/25"
43307358;"Heartstopper: Volume Two (Heartstopper, #2)";"Alice Oseman";"4";"4.59";"320";"2019";"2022/04/25"
131117;"El lustre de la perla";"Sarah Waters";"4";"4.04";"496";"1998";"2022/04/23"
11012;"Dubliners";"James Joyce";"3";"3.85";"207";"1914";"2022/04/19"
49385068;"Los naufragios del corazón";"Benoîte Groult";"2";"3.70";"256";"1988";"2022/04/15"
40003614;"Te miro para que te quedes (Retrato de Pablo Angulo)";"Andrés Barba";"5";"4.50";"104";"2017";"2022/04/14"
9693673;"Come neve al sole";"Peter van Gestel";"4";"3.84";"284";"2001";"2022/04/12"
118028;"The Left Hand of Darkness  (Hainish Cycle #4)";"Ursula K. Le Guin";"3";"4.09";"366";"1969";"2022/04/06"
7042067;"La sirena viuda";"Mario Benedetti";"4";"4.21";"197";"2002";"2022/03/30"
554359;"Pedro y el Capitán";"Mario Benedetti";"4";"4.15";"89";"1979";"2022/03/28"
6763725;"Capitalist Realism: Is There No Alternative?";"Mark Fisher";"4";"4.23";"81";"2009";"2022/03/26"
6880929;"El césped y otros relatos";"Mario Benedetti";"5";"4.03";"95";"1993";"2022/03/20"
45451645;"Ofendiditos: Sobre la criminalización de la protesta";"Lucía Lijtmaer";"4";"3.81";"96";"2019";"2022/03/19"
2774939;"El corazón es un cazador solitario";"Carson McCullers";"5";"3.99";"384";"1940";"2022/03/18"
